som_label,Year,oni_critical_mean,yield_anomaly_mean,n_pixels
1,1990,0.2844362745098039,0.05583309560898117,408
1,1991,0.5143382352941176,0.0044240961547521,408
1,1992,0.7941176470588235,-0.056083846175598036,408
1,1993,0.31409313725490196,0.07844563474613739,408
1,1994,0.360171568627451,-0.10850950698944621,408
1,1995,0.024754901960784316,0.01927929124084424,408
1,1996,-0.5033088235294118,0.04108332259327689,408
1,1997,0.9104166666666667,-0.19432983506446952,408
1,1998,0.2330882352941176,0.05330465033444389,408
1,1999,-1.205392156862745,0.21780215853390936,408
1,2000,-0.9022058823529411,0.1018039528775547,408
1,2001,-0.3242647058823529,0.03482971852017548,408
1,2002,0.5115196078431372,-0.21458890780694692,408
1,2003,0.33125,-0.0043338587180615454,408
1,2004,0.4469362745098039,-0.1014979979081545,408
1,2005,0.1674019607843137,-0.0312630349304955,408
1,2006,-0.128921568627451,-0.11734418182823884,408
1,2007,-0.38578431372549027,0.09398958417353011,408
1,2008,-0.8191176470588235,0.19644731366961246,408
1,2009,0.057843137254901957,-0.05657756239288217,408
1,2010,-0.20870098039215687,0.18878927010604563,408
1,2011,-0.8705882352941177,0.11090157901001957,408
1,2012,-0.18357843137254903,0.23330026835416598,408
1,2013,-0.3371323529411765,0.05341155066272739,408
1,2014,-0.03762254901960785,-0.05487665766883997,408
1,2015,1.2650735294117645,-0.36549137148470023,408
1,2016,0.5919117647058824,-0.18191355125157976,408
2,1982,1.272695035460993,0.18193166400504593,282
2,1983,-0.14680851063829786,0.17146060606666894,282
2,1984,-0.25868794326241135,-0.18829666289454655,282
2,1985,-0.4700354609929078,-0.01988362474109008,282
2,1986,0.4778368794326241,0.00447433195898396,282
2,1987,1.5703900709219858,0.14532614756434997,282
2,1988,-1.1632978723404255,-0.1184656495232125,282
2,1989,-0.2884751773049645,-0.0032276388154846456,282
2,1990,0.3721631205673759,0.013605486622851349,282
2,1991,0.6140070921985815,0.01293782794803371,282
2,1992,0.11826241134751773,-0.009259261211970909,282
2,1993,0.2785460992907801,-0.02295739704844993,282
2,1994,0.4932624113475177,-0.21371985237891886,282
2,1995,-0.5514184397163121,-0.15360959977508482,282
2,1996,-0.35443262411347515,-0.06748687841410164,282
2,1997,1.8657801418439715,-0.10177451460159889,282
2,1998,-1.0122340425531917,-0.17041070107040357,282
2,1999,-1.1469858156028367,-0.2163215377537289,282
2,2000,-0.5427304964539007,-0.19714684786352638,282
2,2001,-0.16436170212765958,-0.25598439738378986,282
2,2002,0.9085106382978723,-0.2564258078453362,282
2,2003,0.2049645390070922,-0.22115862204574363,282
2,2004,0.602482269503546,-0.2061748134516384,282
2,2005,-0.07659574468085106,-0.12520966794075944,282
2,2006,0.34361702127659577,-0.16258149768278687,282
2,2007,-0.8796099290780143,-0.27192955685066095,282
2,2008,-0.2918439716312057,-0.06624828334346639,282
2,2009,0.5982269503546099,0.08094652451852216,282
2,2010,-1.3028368794326242,0.05869956403918702,282
2,2011,-0.6906028368794326,0.05713401808063268,282
2,2012,0.3131205673758865,0.051062599419529876,282
2,2013,-0.31365248226950354,0.001657609055687742,282
2,2014,0.15851063829787232,0.22462380298461634,282
2,2015,1.9203900709219857,0.9501917605445818,282
2,2016,-0.449645390070922,0.20899045118584844,282
3,1982,0.796517027863777,-0.2122671268781252,646
3,1983,0.7157894736842105,0.34005454969067983,646
3,1984,-0.37082043343653254,-0.012590699350524797,646
3,1985,-0.6520897832817337,0.20625870452713346,646
3,1986,0.07786377708978329,0.20982022489253113,646
3,1987,1.2739164086687307,0.16345070921217073,646
3,1988,-0.6757739938080496,-0.05368162755513471,646
3,1989,-0.6430340557275541,0.4370963407437605,646
3,1990,0.30526315789473685,0.0860432906609462,646
3,1991,0.495046439628483,0.05230879554543579,646
3,1992,0.7837461300309597,-0.09137154632498835,646
3,1993,0.41787925696594425,0.006796604105860098,646
3,1994,0.37306501547987614,-0.538335496644798,646
3,1995,-0.028328173374613005,0.05005358291982535,646
3,1996,-0.4326625386996904,0.25261303866503765,646
3,1997,0.9807275541795665,-0.27280459612598584,646
3,1998,0.14357585139318882,0.5416947480131823,646
