lat,lon,años_validos,gap,longest_run,cluster_raw,cluster,std
7.75,284.75,36,0,36,1.0,3.0,0.26875675
7.75,285.25,36,0,36,1.0,3.0,0.23191266
7.75,285.75,36,0,36,1.0,3.0,0.32262838
8.25,6.25,36,0,36,1.0,3.0,0.14654444
8.25,6.75,36,0,36,1.0,3.0,0.14246568
8.25,7.25,36,0,36,1.0,3.0,0.1527658
8.25,7.75,36,0,36,1.0,3.0,0.15589648
8.25,8.25,36,0,36,1.0,3.0,0.1484485
8.25,8.75,36,0,36,1.0,3.0,0.14357868
8.25,9.25,36,0,36,1.0,3.0,0.15258497
8.25,9.75,36,0,36,1.0,3.0,0.13423729
8.25,10.25,36,0,36,1.0,3.0,0.13176091
8.25,10.75,36,0,36,1.0,3.0,0.15338928
8.25,11.25,36,0,36,1.0,3.0,0.18871905
8.25,11.75,36,0,36,1.0,3.0,0.12906393
8.25,12.25,36,0,36,1.0,3.0,0.19240099
8.25,284.75,36,0,36,1.0,3.0,0.21632111
8.25,285.25,36,0,36,1.0,3.0,0.22661471
8.75,8.25,36,0,36,1.0,3.0,0.13111618
8.75,9.75,36,0,36,1.0,3.0,0.14900568
8.75,10.25,36,0,36,1.0,3.0,0.14085948
8.75,10.75,36,0,36,1.0,3.0,0.16561577
8.75,11.25,36,0,36,1.0,3.0,0.15989652
8.75,12.25,36,0,36,1.0,3.0,0.15821107
8.75,12.75,36,0,36,1.0,3.0,0.14365806
8.75,284.75,36,0,36,1.0,3.0,0.23471542
8.75,285.25,36,0,36,1.0,3.0,0.2646964
8.75,285.75,36,0,36,1.0,3.0,0.36378828
8.75,286.25,36,0,36,1.0,3.0,0.381286
9.25,7.25,36,0,36,1.0,3.0,0.14222145
9.25,7.75,36,0,36,1.0,3.0,0.13267455
9.25,8.25,36,0,36,1.0,3.0,0.12881467
9.25,10.25,36,0,36,1.0,3.0,0.15002653
9.25,10.75,36,0,36,1.0,3.0,0.1761764
9.25,11.25,36,0,36,1.0,3.0,0.16102174
9.25,11.75,36,0,36,1.0,3.0,0.13719916
9.25,12.25,36,0,36,1.0,3.0,0.16234535
9.25,12.75,36,0,36,1.0,3.0,0.16864927
9.25,284.75,36,0,36,1.0,3.0,0.18797061
9.25,285.75,36,0,36,1.0,3.0,0.30175963
9.25,286.25,36,0,36,1.0,3.0,0.2757481
9.75,4.25,36,0,36,1.0,3.0,0.141998
9.75,7.25,36,0,36,1.0,3.0,0.1318261
9.75,10.25,36,0,36,1.0,3.0,0.12999353
9.75,11.75,36,0,36,1.0,3.0,0.13512161
9.75,12.25,36,0,36,1.0,3.0,0.14747861
9.75,12.75,36,0,36,1.0,3.0,0.14898786
9.75,13.25,36,0,36,1.0,3.0,0.15263233
9.75,285.75,36,0,36,1.0,3.0,0.23667745
9.75,286.25,36,0,36,1.0,3.0,0.2407295
10.25,7.25,36,0,36,1.0,3.0,0.12714484
10.25,8.25,36,0,36,1.0,3.0,0.13364084
10.25,8.75,36,0,36,1.0,3.0,0.13265556
10.25,12.25,36,0,36,1.0,3.0,0.1621934
10.25,12.75,36,0,36,1.0,3.0,0.1562956
10.25,285.75,36,0,36,1.0,3.0,0.26361942
10.25,286.25,36,0,36,1.0,3.0,0.3025288
10.75,8.25,36,0,36,1.0,3.0,0.14445832
10.75,8.75,36,0,36,1.0,3.0,0.14904742
10.75,13.25,36,0,36,1.0,3.0,0.13182928
10.75,13.75,36,0,36,1.0,3.0,0.14194365
10.75,285.75,36,0,36,1.0,3.0,0.32934847
14.25,75.25,36,0,36,1.0,3.0,0.23728728
14.25,75.75,36,0,36,1.0,3.0,0.18821594
14.75,74.75,36,0,36,1.0,3.0,0.37946135
14.75,75.25,36,0,36,1.0,3.0,0.16857839
15.25,74.25,36,0,36,1.0,3.0,0.33682826
15.25,74.75,36,0,36,1.0,3.0,0.36096913
15.25,76.75,36,0,36,1.0,3.0,0.23909487
15.75,74.25,36,0,36,1.0,3.0,0.2984934
15.75,74.75,36,0,36,1.0,3.0,0.16766702
15.75,76.75,36,0,36,1.0,3.0,0.15884207
15.75,267.25,36,0,36,1.0,3.0,0.27589267
16.25,73.75,36,0,36,1.0,3.0,0.29965112
16.25,74.25,36,0,36,1.0,3.0,0.22049947
16.25,74.75,36,0,36,1.0,3.0,0.1255634
16.25,76.25,36,0,36,1.0,3.0,0.13063246
16.25,266.75,36,0,36,1.0,3.0,0.34519964
16.75,73.75,36,0,36,1.0,3.0,0.28641853
16.75,74.25,36,0,36,1.0,3.0,0.23201951
16.75,74.75,36,0,36,1.0,3.0,0.14618807
16.75,76.25,36,0,36,1.0,3.0,0.17373158
17.25,73.75,36,0,36,1.0,3.0,0.23501202
17.25,74.25,36,0,36,1.0,3.0,0.13502607
17.25,76.25,36,0,36,1.0,3.0,0.1403459
17.75,73.75,36,0,36,1.0,3.0,0.19842485
17.75,76.25,36,0,36,1.0,3.0,0.13826184
17.75,76.75,36,0,36,1.0,3.0,0.20033455
17.75,79.25,36,0,36,1.0,3.0,0.2451355
18.25,75.75,36,0,36,1.0,3.0,0.1335674
18.25,76.25,36,0,36,1.0,3.0,0.19853225
18.25,76.75,36,0,36,1.0,3.0,0.24848028
18.25,77.25,36,0,36,1.0,3.0,0.25287342
18.25,77.75,36,0,36,1.0,3.0,0.20714816
18.25,78.25,36,0,36,1.0,3.0,0.24623401
18.25,78.75,36,0,36,1.0,3.0,0.25566897
18.25,79.25,36,0,36,1.0,3.0,0.23955914
18.25,79.75,36,0,36,1.0,3.0,0.23042724
18.75,75.75,36,0,36,1.0,3.0,0.14571358
18.75,76.25,36,0,36,1.0,3.0,0.21405241
18.75,76.75,36,0,36,1.0,3.0,0.26069662
18.75,77.25,36,0,36,1.0,3.0,0.24908482
18.75,77.75,36,0,36,1.0,3.0,0.21994688
18.75,78.25,36,0,36,1.0,3.0,0.26050085
18.75,78.75,36,0,36,1.0,3.0,0.27350315
18.75,79.25,36,0,36,1.0,3.0,0.21873252
18.75,79.75,36,0,36,1.0,3.0,0.20200689
18.75,80.25,36,0,36,1.0,3.0,0.23257428
19.25,73.25,36,0,36,1.0,3.0,0.24794818
19.25,73.75,36,0,36,1.0,3.0,0.21029952
19.25,74.75,36,0,36,1.0,3.0,0.13617443
19.25,75.25,36,0,36,1.0,3.0,0.18247002
19.25,75.75,36,0,36,1.0,3.0,0.19468786
19.25,76.25,36,0,36,1.0,3.0,0.20944136
19.25,76.75,36,0,36,1.0,3.0,0.21206869
19.25,77.25,36,0,36,1.0,3.0,0.21444774
19.25,77.75,36,0,36,1.0,3.0,0.17228173
19.25,78.25,36,0,36,1.0,3.0,0.2088714
19.25,78.75,36,0,36,1.0,3.0,0.2878184
19.25,79.25,36,0,36,1.0,3.0,0.22847413
